id_ubigeo,department,province,district,region,surface,latitude,longitude,num_requests
690,CALLAO,CALLAO,CALLAO,CALLAO,46.0,-12.0631,-77.1469,2
691,CALLAO,CALLAO,BELLAVISTA,CALLAO,5.0,-12.0625,-77.1292,1
692,CALLAO,CALLAO,CARMEN DE LA LEGUA REYNOSO,CALLAO,2.0,-12.0394,-77.0903,1
693,CALLAO,CALLAO,LA PERLA,CALLAO,3.0,-12.0658,-77.1081,1
694,CALLAO,CALLAO,LA PUNTA,CALLAO,18.0,-12.0728,-77.1633,1
695,CALLAO,CALLAO,VENTANILLA,CALLAO,70.0,-11.8772,-77.1278,2
696,CALLAO,CALLAO,MI PERU,CALLAO,3.0,-11.855,-77.125,1
1281,LIMA,LIMA,LIMA,LIMA PROVINCIA,22.0,-12.0453,-77.0308,1
1282,LIMA,LIMA,ANCON,LIMA PROVINCIA,285.0,-11.7739,-77.1764,2
1283,LIMA,LIMA,ATE,LIMA PROVINCIA,78.0,-12.0264,-76.9214,2
1284,LIMA,LIMA,BARRANCO,LIMA PROVINCIA,3.0,-12.1492,-77.0217,1
1285,LIMA,LIMA,BREÑA,LIMA PROVINCIA,3.0,-12.0589,-77.0461,1
1286,LIMA,LIMA,CARABAYLLO,LIMA PROVINCIA,303.0,-11.8903,-77.0269,2
1287,LIMA,LIMA,CHACLACAYO,LIMA PROVINCIA,40.0,-11.9753,-76.7689,2
1288,LIMA,LIMA,CHORRILLOS,LIMA PROVINCIA,39.0,-12.1769,-77.0164,2
1289,LIMA,LIMA,CIENEGUILLA,LIMA PROVINCIA,240.0,-12.1203,-76.8142,2
1290,LIMA,LIMA,COMAS,LIMA PROVINCIA,49.0,-11.9572,-77.0494,2
1291,LIMA,LIMA,EL AGUSTINO,LIMA PROVINCIA,13.0,-12.0483,-77.0006,1
1292,LIMA,LIMA,INDEPENDENCIA,LIMA PROVINCIA,15.0,-11.9972,-77.0547,1
1293,LIMA,LIMA,JESUS MARIA,LIMA PROVINCIA,5.0,-12.0756,-77.0433,1
1294,LIMA,LIMA,LA MOLINA,LIMA PROVINCIA,66.0,-12.0781,-76.9167,2
1295,LIMA,LIMA,LA VICTORIA,LIMA PROVINCIA,9.0,-12.065,-77.0308,1
1296,LIMA,LIMA,LINCE,LIMA PROVINCIA,3.0,-12.0844,-77.0303,1
1297,LIMA,LIMA,LOS OLIVOS,LIMA PROVINCIA,18.0,-11.9914,-77.0708,1
1298,LIMA,LIMA,LURIGANCHO,LIMA PROVINCIA,236.0,-11.9358,-76.6972,2
1299,LIMA,LIMA,LURIN,LIMA PROVINCIA,180.0,-12.2747,-76.8703,2
1300,LIMA,LIMA,MAGDALENA DEL MAR,LIMA PROVINCIA,4.0,-12.0917,-77.0672,1
1301,LIMA,LIMA,PUEBLO LIBRE,LIMA PROVINCIA,4.0,-12.0781,-77.0625,1
1302,LIMA,LIMA,MIRAFLORES,LIMA PROVINCIA,10.0,-12.1217,-77.0292,1
1303,LIMA,LIMA,PACHACAMAC,LIMA PROVINCIA,160.0,-12.1872,-76.8667,2
1304,LIMA,LIMA,PUCUSANA,LIMA PROVINCIA,37.0,-12.4817,-76.7975,2
1305,LIMA,LIMA,PUENTE PIEDRA,LIMA PROVINCIA,73.0,-11.8667,-77.0769,2
1306,LIMA,LIMA,PUNTA HERMOSA,LIMA PROVINCIA,120.0,-12.3336,-76.8242,2
1307,LIMA,LIMA,PUNTA NEGRA,LIMA PROVINCIA,131.0,-12.3653,-76.7956,2
1308,LIMA,LIMA,RIMAC,LIMA PROVINCIA,12.0,-12.0422,-77.0269,1
1309,LIMA,LIMA,SAN BARTOLO,LIMA PROVINCIA,45.0,-12.3892,-76.7808,2
1310,LIMA,LIMA,SAN BORJA,LIMA PROVINCIA,10.0,-12.1072,-76.9989,1
1311,LIMA,LIMA,SAN ISIDRO,LIMA PROVINCIA,11.0,-12.0978,-77.0272,1
1312,LIMA,LIMA,SAN JUAN DE LURIGANCHO,LIMA PROVINCIA,131.0,-12.0297,-77.01,2
1313,LIMA,LIMA,SAN JUAN DE MIRAFLORES,LIMA PROVINCIA,23.0,-12.1636,-76.9636,1
1314,LIMA,LIMA,SAN LUIS,LIMA PROVINCIA,3.0,-12.0756,-76.9936,1
1315,LIMA,LIMA,SAN MARTIN DE PORRES,LIMA PROVINCIA,37.0,-12.03,-77.0575,2
1316,LIMA,LIMA,SAN MIGUEL,LIMA PROVINCIA,11.0,-12.0922,-77.0794,1
1317,LIMA,LIMA,SANTA ANITA,LIMA PROVINCIA,11.0,-12.0439,-76.9714,1
1318,LIMA,LIMA,SANTA MARIA DEL MAR,LIMA PROVINCIA,10.0,-12.4019,-76.7733,1
1319,LIMA,LIMA,SANTA ROSA,LIMA PROVINCIA,21.0,-11.7872,-77.1569,1
1320,LIMA,LIMA,SANTIAGO DE SURCO,LIMA PROVINCIA,36.0,-12.145,-77.005,2
1321,LIMA,LIMA,SURQUILLO,LIMA PROVINCIA,3.0,-12.1186,-77.0217,1
1322,LIMA,LIMA,VILLA EL SALVADOR,LIMA PROVINCIA,35.0,-12.2133,-76.9372,2
1323,LIMA,LIMA,VILLA MARIA DEL TRIUNFO,LIMA PROVINCIA,71.0,-12.1625,-76.9436,2
