venue_name,category,lat,lng,origin_district
CasaCor Callao,Public Art,-12.060004240041874,-77.14728163059306,CALLAO
Casa Fugaz,Art Gallery,-12.06014460452217,-77.14733549167552,CALLAO
Fortaleza del Real Felipe,Monument / Landmark,-12.062061632203783,-77.1480585345288,CALLAO
Cabos Restaurante de Puerto,Seafood Restaurant,-12.060281594660223,-77.15010469466067,CALLAO
Panadería Olcese,Bakery,-12.061041182760903,-77.143543995726,CALLAO
Monumental Callao,Art Gallery,-12.059838545509397,-77.14709043502806,CALLAO
Restaurante Mateos,Peruvian Restaurant,-12.059509449061304,-77.14668307428592,CALLAO
Se Salió El Pollo,Fried Chicken Joint,-12.064359245437513,-77.15198755262331,CALLAO
Museo de Sitio - Submarino Abtao,Boat or Ferry,-12.060530125134436,-77.15053479042334,CALLAO
Plaza Miguel Grau,Plaza,-12.059439626038735,-77.14847983626315,CALLAO
Leonardo La Peluqueria,Salon / Barbershop,-12.067652734314803,-77.15898394830646,CALLAO
La Perla de los jugos - Mercado Callao,Juice Bar,-12.060956696569283,-77.1388328180071,CALLAO
Chucuito Beach,Beach,-12.064698470289628,-77.15132217972265,CALLAO
Playa VIP - La Punta,Beach,-12.070041869858242,-77.1639347076416,CALLAO
La ventanita del medio,Gastropub,-12.063725859414838,-77.15355780936221,CALLAO
Malecón de La Punta,Scenic Lookout,-12.073700479549444,-77.16439271626956,CALLAO
La Cafeteria,Café,-12.07046622450526,-77.16204739984651,CALLAO
Plaza de Armas de La Punta,Plaza,-12.07261078772987,-77.16396585420229,CALLAO
Chifa El Osito,Chinese Restaurant,-12.059813310336116,-77.13537184041824,CALLAO
Francesco,Seafood Restaurant,-12.058225068201242,-77.1305948577072,CALLAO
Coliseo Fortunatto Marotta - La Punta,Stadium,-12.07294758746471,-77.16163271849916,CALLAO
Panadería Panarello,Bakery,-12.070540888400684,-77.1620159249957,CALLAO
La Caleta de la Punta,Pier,-12.074177277408822,-77.164625107155,CALLAO
El Mirador,Seafood Restaurant,-12.070998517133225,-77.1659515883269,CALLAO
Playa Cantolao,Beach,-12.069745988635388,-77.16406695325135,CALLAO
Lemons gym,Gym,-12.059704937717912,-77.13371579402336,CALLAO
Teatro Municipal del Callao,Theater,-12.06294043371065,-77.1449618803142,CALLAO
Don Giuseppe Cebicheria,Seafood Restaurant,-12.073576705631654,-77.16453264073432,CALLAO
Mateo,Seafood Restaurant,-12.063872916111755,-77.1445420113226,CALLAO
Deli Bakery,Bakery,-12.07268708123061,-77.16332126208903,CALLAO
Maguila,Peruvian Restaurant,-12.065729009578025,-77.15304757116719,CALLAO
Museo Naval del Callao,History Museum,-12.06019777121553,-77.14876070325896,CALLAO
Restaurant Rovira,Peruvian Restaurant,-12.060076037766402,-77.14813717759871,CALLAO
Norky's,Fried Chicken Joint,-12.060183990924322,-77.13973330699653,CALLAO
Plaza de Armas de Bellavista,Plaza,-12.062412327816322,-77.12874843603193,CALLAO
Rana Verde,Seafood Restaurant,-12.066511,-77.15861,CALLAO
Manolo Cevicheria,Seafood Restaurant,-12.074418826030392,-77.16453819970073,CALLAO
Obelisco,Plaza,-12.052350575869358,-77.13422215876408,CALLAO
Chifa Kaming,Asian Restaurant,-12.060262358604943,-77.13777450537326,CALLAO
Circolo Canottieri,Harbor / Marina,-12.068157602183271,-77.15982399569117,CALLAO
Restaurante El Comedor,Restaurant,-12.059901,-77.146636,CALLAO
Bembos,Fast Food Restaurant,-12.060471833988517,-77.13168080484331,CALLAO
Mercado Central del Callao,Farmers Market,-12.061122752513786,-77.13826144521207,CALLAO
La Cafetería - La Punta,Café,-12.071018,-77.161521,CALLAO
Mirador de La Ribera Cevicheria,Seafood Restaurant,-12.0631087939882,-77.15313600304698,CALLAO
Tottus,Supermarket,-12.060298758839512,-77.14157730459527,CALLAO
Restaurante Rosalia,Seafood Restaurant,-12.055223466620001,-77.135521162227,CALLAO
Restaurant La Rana Verde,Seafood Restaurant,-12.066502065612607,-77.15864720097272,CALLAO
Donde Yolo,Peruvian Restaurant,-12.074421889115595,-77.16475171368499,CALLAO
Villa Deportiva Regional del Callao,Baseball Field,-12.062383122459543,-77.12108991263312,CALLAO
Mercado De La Punta,Convenience Store,-12.069443000547636,-77.16116558490197,CALLAO
Sr. Pescado,Seafood Restaurant,-12.071433510014282,-77.12245745045323,CALLAO
Las Delicias Del Tío charly,Burger Joint,-12.0726465,-77.16481194,CALLAO
El Tronco,Restaurant,-12.059784056689912,-77.13645275429714,CALLAO
